TeamName,Discord#1,Discord#2,Discord#3
CodeBrewers,Shubhashish#2599,Lakshay#8990,
PikaPika,.LUNA🔪⛓#0666,Rushil#5279,voldi#1042
RAVENS,45gh#8475,Messi#8270,DarkSlayer#6577
Sophomores Online,SilentKnight#2803,jgk. 819#7959,
LabourInto,Akhand Vaibhav Singh#6640,kartikmadan26#5771,
Aura Coders,gracy Singh#6503,TEJASVI#6585,tataksh.bhagat#6083
Dauntless,Mishti#0415,Ishan#4901,
Kingsmen,Prabhnoor#8282,Rishabh#3602,kebab#8276
Clueless,Rush#1654,Aafffff#2723,
brute_force,﻿ .82#5092,Devi1ion#8304,anonymous111#5222
FridayNight,Raghav Virmani #5085,nerfgrv#3709,muhnun#7019
Bitchcoin,Tanya#5212,guntas#3344,Bhoomica Gupta#0867
Functional Bits,Lakshit#0525,Saurabh Thakur#1996,Keshav#2961
Vampires,Divyansh#9036,Oniket#0288,Muskan#0023
ACHUU,Riya Talwar#1823,Devanshi#1147,
Kingsman,Sabbey#3532,Thande Papa#5256,
Sorerers,Hey guys#8827,Falcon#5977,Vaibhav Chachra#0407
cicada3301,awpodartho#8558,b0shakk#9221,BotHuBhai#7943
Alpha males,Parth#2724,kanye#0420,ABC12345#3836
escape,anonymous_op#4261,Samridhi#7860,Aarushi#9398
Brown Devs,Ishaan#7153,Adamay Mann#4877,MJ06#2638
Alpine,Angad Manroy#3993,Archit_2408#7036,FirePowerx2#0127
B^2xS,Bhavika#5880,Saksham#0429,falcon#7298
who_cares,P_goyal60#3371,s_jain60#2122,
Glorious Basterds,Diashi#8954,Aashutosh Dubey#9751,
broken brains,pineapplepizza#5141,Achilles#1543,BlazingSaber#2223
Team A,Twesha#3527,HermGrange#7322,Ezclapper#9449
Coding tigers,Anonymos Hamster#1194,raju hacker#3132,Bot1234#3870
Interstellar,loveneesh garg#7460,Manas Bansal#5804,
Teen,Vishesh#6962,Raghav#3836,Modi#0997
SINNERS,sarisha#0866,Shreedhar#6508,Neeraj#8229
The Conquerors,DoomBuoy#0990,ProblemWithDiscord-HS#8041,Moriarty#8424
cheems OP,BabuRao#3991,arshia~#2204,
amc,rajat_shree#1999,Braggergamer#8157,
No one,hayoo rabba#3979,Gurleen#4153,
Kweens,Harshita Singh#3765,ManasviPrakash#7710,
Pandora,Fiend_Star#0666,a3vader#0403,
Grinders,Aabir #0283,Michael Scott #3461,
SS,Ruzzic#2881,gazal26#2384,
Pepper,oneshika#0087,hiroshima#0230,Arthur Morgan#9691
Sorri Darling,Existential Crisis#6283,𝐌𝐄𝐒𝐒𝐈#4863,Escobar#4921
Aastik Nagpal,akhil#9983,Aastik#8954,Anvesh#6268
Pulverizers,Akshat Girdhar#3824,Tushar Jain#5584,
meh,mahek_khowala#0912,Hiya#8611,Esha Sherring(P)#6162
G0DSP33D,SarthakV#0185,kennyACE#0325,
Monga's Team,Ramesh#5660,Nitin-kumar#7662,Navish#6632
TBD,bhanviii#6303,Simran#7352,Vidhisha#5606
Priky Blinder,HACKERSTEIN#5274,priky01.#0886,
TWSS,Suprit#9572,niykap#5425,Ishita Nandwani#8302
TNS007,Shauri#5790,nishant18#2326,cyan#0377
Back Trackers,$ajeev#8401,SmD#4650,killerabhicrush#9397
sudo-get-rekt,Ayush nauriyal#8007,Prajit#7655,Deadpool1912#2742
Code Brigade,Maitreyi#3893,MadMax16#2647,AdiK#3852
Eagle,Bhavika#7022,Hhhiiiiii#5833,Nandini#8769
Clowns,P.B.#7953,Emmas#7908,
sherlocked,himangi#4383,ashima#5614,Siddharth#1373
Codeavor,Galaxy user#2082,Gunsha3#9238,Khushi Thapar#0887
Blackhat,Sanya Sachdeva#5138,Ankita Bhatia#2431,
NOOB_CODERS,gomsi#5318,Shivam#8638,Anand#5904
Deathwish,Proxy#7819,Gauri#8849,
The 1%,Avleen#3794,aar#3037,Dracc#5891
LABERINTO,SLAYER-JK#9877,LEGEND#7920,RuKna12!#5766
Cyber Classics,Arushi Girdhar#8328,Palak Jassal#9985,Edvis Stroner#2611
AlphaMatrix,OJAS_SHARMA#9408,removeThis_bw#0961,lodaccis#0739
Simp-lee-city,mad1ad#6156,Jubbu#0123,Aaryan#9999
Grove Street Families,Doofenshmirtz#4430,pillu#6999,WrathOP#9696
Orion,Darpan#1972,Anmol Assi#5121,
Mission Chasers,Ganesh Mittal#7361,Neeraj Sandal#7076,
PSG,Tanishq.11.08#4051,palak#2101,
Megaclite,utkarshbhardwaj#7374,Pikachuuu#6040,
Noobs,Dwarf10#6903,GhostRider#4218,
Survivors,aryan_supercool#9237,garimeh#7422,anushka#8278
Terrific trio,Sumit jain#2267,charlie_007#5848,Ananya kumar#9134
The CODERS,Dude1#5664,ProblemWithDiscord-Ya#6211,ProblemWithDiscord-La#5928
Vicholaye,AniL#9021,Ash Kun#4940,pratishtha#3987
Black Screens,akshat#5038,Radhika#0038,Lagan Garg#9326
Random Bots,Niket Jindal#5330,Kashika#7135,Aaditya#4658
The B Team,rk1091#6675,Moukhik Gupta#1869,Beluga#8059
Think-Tank,Shubham Sinha#5634,Deeksha Chutani#9595,AlphaNinja27#4879
Team,GS #9146,Khushi#4120,
Cold Hustlers,Apoorv Saxena #8639,na #1234,
PHOENIX,Kamya#1973,Prakhar khanna#3838,jai#8319
Misfits,Ananya#1319,Mr. PoopyButthole#6969,Amyy (>.<)#6278
Technocrats,it's_Me_Sarkar#4325,samarth_babbar#1960,Anubhav Gupta#9448
NisHBot,aneesh2561#4797,Radhika Agrawal#8850,adiii#5014
Maze Players,Simar#8783,Jashan_28#5540,Rohan#3529
Knowhere,Reet Kubba#3008,Philander#1771,Sarthak Chandna#4023
Team Koala,Longclaw#9688,_Piyush#7011,
Knights,parv sehdev#9682,prabhav3257#1261,Leager#1394
Javalen,Wrecked#7524,almighty shrek#8828,Romil#9958
NullPointers,raghavTinker#3492,SidBahl#9146,yashvardhan#9874
Spree enigma,srishtiiii#1108,Kayo#2411,
221 B Baker Street,SHERLOCKED#0007,hey!!#0282,
Runtime Terror,Diksha Rani#5918,Aditya_vegesina#4532,
Overkill_99,Zeero#0173,KRÆT05#8677,_Manu#5400
DEATHLY_HALLOWS,mprateek2002#7117,yuvrajsingh01#1748,dishant_sharma#1431
Guilty Crown,Sanchit#8999,NishchayJain#6133,kushagra_ved#0828
Alt_hex,abc#6669,-rr#9261,
Maze Runners,Sidhant#5849,Harshit Gogia#0841,Falguni#1412
Flag Smashers,SUKHAM#7165,Girish#4590,charu#3225
Unstoppable,Anybody#5697,mani2002#0842,Ishtdeep Singh Sodhi#0208
ShyBois,Arjun_Dvn#8350,abhAV#2434,bhola aadmi#7086
Gucci Gang,Buri Buri Zaemon#3174,Existential Crisis#8193,Yamini#9698
Sinister Rewind,Ramneet#1103,Kn1ghtH0und#6669,gaurav#3161
gdtame,Gdtame#9472,,
Hypertext Assassins,Ronit#0001,Palak Modi#0694,Arnav#4253
allies,Ayush#7755,Abhay#0615,
Team_CHAMP,kunalrathi#5422,Gargi#4504,rayquaza#1593
HEAVY KODERS,@Aman007#9135,@Akshat#1648,
